LSOA21CD,Formatted_Ward
E01000001,City of London
E01000003,City of London
E01000002,City of London
E01032740,City of London
E01000005,City of London
E01032739,City of London
E01034473,Barking and Dagenham - Abbey
E01000050,Barking and Dagenham - Abbey
E01034474,Barking and Dagenham - Abbey
E01000018,Barking and Dagenham - Alibon
E01000016,Barking and Dagenham - Alibon
E01000035,Barking and Dagenham - Alibon
E01000036,Barking and Dagenham - Alibon
E01000015,Barking and Dagenham - Alibon
E01034477,Barking and Dagenham - Barking Riverside
E01000095,Barking and Dagenham - Barking Riverside
E01000091,Barking and Dagenham - Barking Riverside
E01034478,Barking and Dagenham - Barking Riverside
E01000094,Barking and Dagenham - Barking Riverside
E01000085,Barking and Dagenham - Beam
E01000087,Barking and Dagenham - Beam
E01000090,Barking and Dagenham - Beam
E01000088,Barking and Dagenham - Beam
E01000089,Barking and Dagenham - Beam
E01000022,Barking and Dagenham - Becontree
E01000021,Barking and Dagenham - Becontree
E01000019,Barking and Dagenham - Becontree
E01000020,Barking and Dagenham - Becontree
E01032580,Barking and Dagenham - Becontree
E01000032,Barking and Dagenham - Chadwell Heath
E01000110,Barking and Dagenham - Chadwell Heath
E01000030,Barking and Dagenham - Chadwell Heath
E01000031,Barking and Dagenham - Chadwell Heath
E01000027,Barking and Dagenham - Chadwell Heath
E01000028,Barking and Dagenham - Chadwell Heath
E01000029,Barking and Dagenham - Chadwell Heath
E01000037,Barking and Dagenham - Eastbrook & Rush Green
E01000033,Barking and Dagenham - Eastbrook & Rush Green
E01000034,Barking and Dagenham - Eastbrook & Rush Green
E01000376,Bexley - Crayford
E01000079,Barking and Dagenham - Parsloes
E01000375,Bexley - Crayford
E01000374,Bexley - Crayford
E01000038,Barking and Dagenham - Eastbrook & Rush Green
E01000080,Barking and Dagenham - Parsloes
E01000380,Bexley - Crayford
E01000039,Barking and Dagenham - Eastbrook & Rush Green
E01000077,Barking and Dagenham - Parsloes
E01000328,Bexley - Crayford
E01000116,Barnet - Brunswick Park
E01000044,Barking and Dagenham - Eastbury
E01000275,Barnet - Totteridge & Woodside
E01000065,Barking and Dagenham - Parsloes
E01000174,Barnet - East Barnet
E01033791,Bexley - Crayford
E01000122,Barnet - Brunswick Park
E01000057,Barking and Dagenham - Eastbury
E01000278,Barnet - Totteridge & Woodside
E01000081,Barking and Dagenham - Parsloes
E01000389,Bexley - Crook Log
E01000175,Barnet - East Barnet
E01000133,Barnet - Burnt Oak
E01000040,Barking and Dagenham - Eastbury
E01000279,Barnet - Totteridge & Woodside
E01000017,Barking and Dagenham - Parsloes
E01000361,Bexley - Crook Log
E01000168,Barnet - East Barnet
E01000127,Barnet - Burnt Oak
E01000096,Barking and Dagenham - Eastbury
E01033912,Barnet - Totteridge & Woodside
E01000014,Barking and Dagenham - Parsloes
E01000358,Bexley - Crook Log
E01000171,Barnet - East Barnet
E01000226,Barnet - Burnt Oak
E01000046,Barking and Dagenham - Eastbury
E01000283,Barnet - Totteridge & Woodside
E01034476,Barking and Dagenham - Thames View
E01000366,Bexley - Crook Log
E01000167,Barnet - East Barnet
E01000134,Barnet - Burnt Oak
E01000045,Barking and Dagenham - Eastbury
E01000055,Barking and Dagenham - Eastbury
E01000042,Barking and Dagenham - Eastbury
E01000041,Barking and Dagenham - Eastbury
E01000043,Barking and Dagenham - Eastbury
E01033587,Barking and Dagenham - Gascoigne
E01000051,Barking and Dagenham - Gascoigne
E01000049,Barking and Dagenham - Gascoigne
E01000052,Barking and Dagenham - Gascoigne
E01034479,Barking and Dagenham - Gascoigne
E01000053,Barking and Dagenham - Goresbrook
E01000059,Barking and Dagenham - Goresbrook
E01000054,Barking and Dagenham - Goresbrook
E01000058,Barking and Dagenham - Goresbrook
E01000084,Barking and Dagenham - Goresbrook
E01000086,Barking and Dagenham - Goresbrook
E01000056,Barking and Dagenham - Goresbrook
E01000061,Barking and Dagenham - Heath
E01000060,Barking and Dagenham - Heath
E01000062,Barking and Dagenham - Heath
E01000064,Barking and Dagenham - Heath
E01000069,Barking and Dagenham - Longbridge
E01000071,Barking and Dagenham - Longbridge
E01000067,Barking and Dagenham - Longbridge
E01000066,Barking and Dagenham - Longbridge
E01000068,Barking and Dagenham - Longbridge
E01000070,Barking and Dagenham - Longbridge
E01000074,Barking and Dagenham - Mayesbrook
