dateOfTransfer,price,borough,lsoaCode,longitude,latitude,houseType,numberOfBedrooms,postcode
2019-02-02,755850,Newham,E01078929,0.1472245051571538,51.63744393089228,Flat,2,SE13 2SM
2023-04-18,350532,Croydon,E01071742,-0.15533549121994283,51.61103078579418,Detached,2,E20 5YT
2021-01-20,778570,Havering,E01029450,0.2569393723645015,51.63633641338484,Detached,3,SE10 5PR
2020-06-11,410901,Camden,E01057559,0.2516570658588937,51.60398887904172,SemiDetached,4,E10 5BV
2016-09-02,328050,Southwark,E01092579,-0.1620332967611406,51.64497720929107,NotDetached,3,W11 9GE
2020-04-29,321476,Barking and Dagenham,E01094332,-0.4090553189382139,51.46598674928716,SemiDetached,1,E5 1OW
2014-02-04,322636,Camden,E01063872,-0.21429005227413378,51.64801049445328,NotDetached,2,SE17 8WD
2023-09-25,552548,Camden,E01025208,0.09426205835143098,51.5196358169065,NotDetached,3,E16 4JS
2015-12-27,325644,Southwark,E01069076,0.28632588863254904,51.51966424095647,Flat,3,W14 5YV
2022-12-17,806840,Hillingdon,E01047952,-0.033795867365134125,51.454858779196435,NotDetached,1,N13 2HR
2019-07-15,522228,Waltham Forest,E01068222,-0.17133482344602347,51.506964963193674,Detached,3,E6 1WS
2016-11-15,569987,Enfield,E01028128,-0.11832766925407184,51.528412793011256,SemiDetached,4,N4 5PK
2022-08-09,846220,Camden,E01031420,0.031329215510499275,51.62940351092464,Flat,4,SW17 3ZY
2016-09-13,374895,Merton,E01031743,-0.15080449832448167,51.50293520224635,NotDetached,3,NW17 8BE
2022-01-18,778080,Islington,E01016239,-0.10410439529034571,51.48253119219163,NotDetached,1,SE12 4GA
2016-03-09,320861,Croydon,E01015026,0.2762166150929277,51.567666010843,NotDetached,5,SE11 7ZW
2021-01-20,438030,Waltham Forest,E01017436,-0.32619097814005515,51.44019522311417,Flat,5,E11 5YC
2021-06-21,536108,Barnet,E01090358,-0.024525524823008127,51.57080743255874,SemiDetached,3,SW16 7LZ
2018-11-20,479989,Enfield,E01050548,0.14894036144383704,51.58871183936636,Flat,4,N7 1DB
