ID,Unique_Reference,Price,Date,Postcode,House_Type,Status_N,Tenure_Type,House_Number,Flat_Number,Street_Name,Area,City,Region,County,A,A.1,Quarter,Education_Growth_Rate,Bank_Growth_Rate,GDP_Growth_Rate
3787737,{2859C1AB-7774-52B4-E063-4804A8C05948},380000,2024-08-07 00:00,N19 5PZ,F,N,L,165,FLAT 3,JUNCTION ROAD,,LONDON,ISLINGTON,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787738,{2859C1AB-7776-52B4-E063-4804A8C05948},750000,2024-05-15 00:00,W3 7SZ,F,N,L,"POWER HOUSE, 74",FLAT 11,STANLEY GARDENS,,LONDON,EALING,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3787739,{2859C1AB-7777-52B4-E063-4804A8C05948},330000,2024-09-13 00:00,HA0 3PD,S,N,L,36,,BYRON ROAD,,WEMBLEY,BRENT,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787740,{2859C1AB-7778-52B4-E063-4804A8C05948},535000,2024-11-01 00:00,N1 0BZ,F,N,L,CAITHNESS HOUSE,FLAT 37,TWYFORD STREET,,LONDON,ISLINGTON,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787741,{2859C1AB-7779-52B4-E063-4804A8C05948},810000,2024-05-31 00:00,NW2 4BE,F,Y,L,"JACK FREEDMAN HOUSE, 15",FLAT 12,COVERDALE ROAD,,LONDON,BRENT,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3787742,{2859C1AB-777A-52B4-E063-4804A8C05948},625000,2024-10-25 00:00,N16 6LT,F,N,L,STAMFORD MANSIONS,FLAT 11,STAMFORD GROVE EAST,,LONDON,HACKNEY,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787743,{2859C1AB-777B-52B4-E063-4804A8C05948},520000,2024-11-04 00:00,E3 5PQ,F,N,L,DETHICK COURT,FLAT 38,FORD ROAD,,LONDON,TOWER HAMLETS,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787744,{2859C1AB-777C-52B4-E063-4804A8C05948},350000,2024-05-22 00:00,EN5 4ET,F,N,L,2B,,ALSTON ROAD,HIGH BARNET,BARNET,BARNET,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3787745,{2859C1AB-777D-52B4-E063-4804A8C05948},460000,2024-06-26 00:00,N8 9NA,F,N,L,56,,RATHCOOLE AVENUE,,LONDON,HARINGEY,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3787746,{2859C1AB-777E-52B4-E063-4804A8C05948},450000,2024-10-18 00:00,NW2 2RG,F,N,L,35,FLAT 3,LICHFIELD ROAD,,LONDON,BARNET,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787747,{2859C1AB-777F-52B4-E063-4804A8C05948},430000,2024-06-28 00:00,N4 1PY,F,N,L,4,,VALE GROVE,,LONDON,HARINGEY,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3787748,{2859C1AB-7782-52B4-E063-4804A8C05948},275000,2024-03-22 00:00,HA2 9AA,F,Y,L,"MATRIX COURT, 178",FLAT 5,EASTCOTE LANE,,HARROW,HARROW,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3787749,{2859C1AB-7785-52B4-E063-4804A8C05948},905000,2024-08-08 00:00,N5 1PL,F,N,L,37A,,ARVON ROAD,,LONDON,ISLINGTON,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3787750,{2859C1AB-7786-52B4-E063-4804A8C05948},900000,2024-10-09 00:00,N1 1HQ,F,N,L,21C,,BARNSBURY PARK,,LONDON,ISLINGTON,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3787751,{2859C1AB-7787-52B4-E063-4804A8C05948},453600,2024-03-15 00:00,TW3 4FG,F,Y,L,"BRECON COURT, 30",FLAT 16,CIVIC STREET,,HOUNSLOW,HOUNSLOW,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
