Region,House_Type,Year,Price,Growth
Barking And Dagenham,D,1995,83250,
Barking And Dagenham,D,1996,119424.5,43.45285285
Barking And Dagenham,D,1997,139126.3333,16.49731281
Barking And Dagenham,D,1998,137092.1875,-1.462085419
Barking And Dagenham,D,1999,128241.3793,-6.456099615
Barking And Dagenham,D,2000,146531.625,14.26235883
Barking And Dagenham,D,2001,165458.2353,12.91639965
Barking And Dagenham,D,2002,178192.6786,7.696469901
Barking And Dagenham,D,2003,190962.4074,7.16624776
Barking And Dagenham,D,2004,245524.7222,28.57228056
Barking And Dagenham,D,2005,241310,-1.716618263
Barking And Dagenham,D,2006,288029.1667,19.3606426
Barking And Dagenham,D,2007,267310.5882,-7.193222364
Barking And Dagenham,D,2008,330264.1176,23.5507055
Barking And Dagenham,D,2009,263808.6364,-20.12191992
Barking And Dagenham,D,2010,273513.6,3.678789205
Barking And Dagenham,D,2011,275242.6667,0.632168443
Barking And Dagenham,D,2012,231866.4,-15.75928151
Barking And Dagenham,D,2013,261062.5,12.59177699
Barking And Dagenham,D,2014,322741.8462,23.62627576
Barking And Dagenham,D,2015,328645.2083,1.829128218
Barking And Dagenham,D,2016,374158.8636,13.84887232
Barking And Dagenham,D,2017,416593.4375,11.3413253
Barking And Dagenham,D,2018,599061.4545,43.80002194
Barking And Dagenham,D,2019,450107.1429,-24.8646129
Barking And Dagenham,D,2020,449045.4545,-0.235874575
Barking And Dagenham,D,2021,464640,3.472821136
Barking And Dagenham,D,2022,866375.4348,86.46165521
Barking And Dagenham,D,2023,601333.3333,-30.59206099
Barking And Dagenham,D,2024,462571.4286,-23.07570478
Barking And Dagenham,F,1995,36402.05178,
Barking And Dagenham,F,1996,35627.50301,-2.127761294
Barking And Dagenham,F,1997,39869.05179,11.90526536
Barking And Dagenham,F,1998,47040.02234,17.98630825
Barking And Dagenham,F,1999,49746.80097,5.754203548
Barking And Dagenham,F,2000,60568.83075,21.75422251
Barking And Dagenham,F,2001,68840.45666,13.65657189
Barking And Dagenham,F,2002,89296.41397,29.71502268
Barking And Dagenham,F,2003,112640.7539,26.14252792
Barking And Dagenham,F,2004,133063.4201,18.13079681
Barking And Dagenham,F,2005,131971.5602,-0.820556058
Barking And Dagenham,F,2006,138401.083,4.871900277
Barking And Dagenham,F,2007,158401.1204,14.45078101
Barking And Dagenham,F,2008,155846.6693,-1.612647107
Barking And Dagenham,F,2009,131608.3531,-15.55266874
Barking And Dagenham,F,2010,140451.1479,6.719022421
Barking And Dagenham,F,2011,138638.6343,-1.290493918
Barking And Dagenham,F,2012,131136.4696,-5.411308858
Barking And Dagenham,F,2013,142032.7593,8.309122303
Barking And Dagenham,F,2014,154799.7484,8.988763709
Barking And Dagenham,F,2015,173528.9923,12.09901444
Barking And Dagenham,F,2016,203432.1672,17.23237969
Barking And Dagenham,F,2017,233934.8975,14.99405466
Barking And Dagenham,F,2018,242534.5389,3.676083155
Barking And Dagenham,F,2019,235186.7169,-3.029598185
Barking And Dagenham,F,2020,256299.2729,8.976933873
Barking And Dagenham,F,2021,246158.674,-3.956546126
Barking And Dagenham,F,2022,278716.2301,13.22624776
Barking And Dagenham,F,2023,279803.7996,0.390206722
Barking And Dagenham,F,2024,232219.7026,-17.00623688
Barking And Dagenham,O,2005,20000,
Barking And Dagenham,O,2009,15999,-20.005
Barking And Dagenham,O,2013,1682600,10416.90731
Barking And Dagenham,O,2014,1083281.35,-35.61860513
Barking And Dagenham,O,2015,1962765.685,81.18706513
Barking And Dagenham,O,2016,1554900.589,-20.78012159
Barking And Dagenham,O,2017,607653.9231,-60.92007893
Barking And Dagenham,O,2018,1808128.602,197.5589449
Barking And Dagenham,O,2019,1529065.566,-15.43380463
Barking And Dagenham,O,2020,3427479.878,124.1551935
Barking And Dagenham,O,2021,2653097.598,-22.59334287
Barking And Dagenham,O,2022,3757536.907,41.62829555
Barking And Dagenham,O,2023,1599334.536,-57.4366247
Barking And Dagenham,O,2024,515981.4815,-67.73773904
Barking And Dagenham,S,1995,60550.91489,
Barking And Dagenham,S,1996,59883.46792,-1.102290478
Barking And Dagenham,S,1997,67689.18127,13.03483852
Barking And Dagenham,S,1998,78357.1873,15.76028227
Barking And Dagenham,S,1999,83917.06623,7.095557045
Barking And Dagenham,S,2000,102962.9833,22.69611888
Barking And Dagenham,S,2001,116959.2813,13.59352406
Barking And Dagenham,S,2002,139060.2456,18.89628948
Barking And Dagenham,S,2003,165989.3289,19.36504795
Barking And Dagenham,S,2004,188692.9373,13.67775182
Barking And Dagenham,S,2005,198755.0941,5.332556113
Barking And Dagenham,S,2006,211148.3767,6.235454086
Barking And Dagenham,S,2007,238912.3025,13.14901217
Barking And Dagenham,S,2008,238727.2152,-0.077470803
Barking And Dagenham,S,2009,195969.839,-17.91055794
Barking And Dagenham,S,2010,215483.6688,9.957567935
Barking And Dagenham,S,2011,210873.7371,-2.139341563
Barking And Dagenham,S,2012,215779.9625,2.326617541
Barking And Dagenham,S,2013,222207.1967,2.978605681
Barking And Dagenham,S,2014,247729.9476,11.48601453
Barking And Dagenham,S,2015,290182.7729,17.13673527
Barking And Dagenham,S,2016,344666.1647,18.77554315
Barking And Dagenham,S,2017,358041.9706,3.88080041
Barking And Dagenham,S,2018,354895.9956,-0.878660959
Barking And Dagenham,S,2019,373763.7864,5.316428212
Barking And Dagenham,S,2020,368865.3096,-1.310580891
