Postcode,Frequency
HA1 2EX,0.0001361269149831543
CR4 4FD,0.00013561897873321714
N7 6JT,0.00012241263623485144
E11 1UL,0.00012139676373497714
W2 6HP,0.00011682533748554287
SM2 5NB,0.00011428565623585715
RM2 6GH,0.00011225391123610858
E14 8DW,0.00011174597498617144
EN3 4SF,0.00011174597498617144
CR4 4FF,0.00011073010248629715
E15 3AR,0.00011073010248629715
UB2 5NT,0.00011022216623636001
E14 9LQ,0.00010869835748654858
RM12 6TN,0.00010768248498667429
SE5 9RH,0.0001066666124868
E3 2UT,0.0001066666124868
SE11 5QN,0.00010514280373698858
TW13 4TN,0.00010514280373698858
TW13 4TG,0.00010311105873724
E14 9GU,0.00010311105873724
SE8 5BN,0.00010311105873724
SE1 3HS,0.00010260312248730286
SE18 4PR,0.00010260312248730286
N21 1SQ,0.00010209518623736572
E1 8AP,0.00010158724998742857
SM6 7AG,0.00010107931373749143
N9 9GA,0.00010006344123761714
SW18 3QS,9.904756873774286e-05
E15 1DA,9.904756873774286e-05
SE16 5DJ,9.853963248780571e-05
E14 9UY,9.853963248780571e-05
SW17 8JT,9.803169623786858e-05
W14 0NH,9.752375998793144e-05
RM11 3XY,9.70158237379943e-05
SM2 5TF,9.70158237379943e-05
E14 8LZ,9.70158237379943e-05
SE16 5XX,9.599995123812001e-05
EN1 4UP,9.549201498818287e-05
N6 5QD,9.549201498818287e-05
E13 9LX,9.549201498818287e-05
KT1 2LH,9.498407873824572e-05
N1 7SH,9.498407873824572e-05
SW11 2NP,9.447614248830858e-05
SE9 2BB,9.396820623837144e-05
SW9 9BT,9.34602699884343e-05
E9 7SG,9.34602699884343e-05
SE1 4HG,9.34602699884343e-05
E1 8RL,9.34602699884343e-05
SE1 6BA,9.244439748856001e-05
E14 9LH,9.244439748856001e-05
SM2 5LP,9.244439748856001e-05
KT1 2AN,9.244439748856001e-05
SE3 7HU,9.244439748856001e-05
E1 1NY,9.193646123862287e-05
SE16 7FH,9.193646123862287e-05
EN2 0RJ,9.193646123862287e-05
W14 0NL,9.142852498868572e-05
SW18 3DB,9.142852498868572e-05
W4 3DG,9.092058873874858e-05
SE18 5SS,9.041265248881144e-05
SW15 6EW,9.041265248881144e-05
TW2 6SN,9.041265248881144e-05
N9 7PY,8.990471623887429e-05
SW16 6AF,8.990471623887429e-05
SM2 6NL,8.990471623887429e-05
TW7 7EW,8.990471623887429e-05
SE13 7QF,8.8888843739e-05
SE13 7QU,8.838090748906286e-05
SM1 4QN,8.787297123912572e-05
KT1 3ER,8.787297123912572e-05
SE1 7UN,8.787297123912572e-05
SE27 9RP,8.787297123912572e-05
RM7 0DS,8.787297123912572e-05
SE18 4PP,8.787297123912572e-05
SE3 9QT,8.787297123912572e-05
SM2 5HQ,8.736503498918858e-05
SE1 2PP,8.736503498918858e-05
SW17 6AU,8.736503498918858e-05
RM1 2NQ,8.736503498918858e-05
E1W 1PW,8.685709873925143e-05
E14 3WB,8.685709873925143e-05
CR4 3SH,8.685709873925143e-05
KT4 7SB,8.685709873925143e-05
SW19 6AY,8.634916248931429e-05
SW2 3DF,8.634916248931429e-05
E7 8AY,8.634916248931429e-05
N5 1NF,8.634916248931429e-05
E14 9XD,8.634916248931429e-05
E14 7JT,8.584122623937715e-05
E14 9GR,8.584122623937715e-05
E1 2QT,8.584122623937715e-05
E14 3FD,8.584122623937715e-05
W3 8PN,8.584122623937715e-05
SM6 7JJ,8.533328998944e-05
SE14 6DZ,8.533328998944e-05
SE14 5XE,8.533328998944e-05
SE1 7XA,8.533328998944e-05
TW3 1TA,8.533328998944e-05
SE18 4LA,8.533328998944e-05
EN2 7PR,8.533328998944e-05
SE13 6UH,8.482535373950286e-05
SW18 1JL,8.482535373950286e-05
E14 3TS,8.482535373950286e-05
SE19 1AE,8.431741748956572e-05
SW20 8JU,8.431741748956572e-05
TW14 9XJ,8.431741748956572e-05
SM2 5JN,8.431741748956572e-05
EC1V 2NR,8.330154498969143e-05
E14 9PB,8.330154498969143e-05
E14 3WN,8.330154498969143e-05
SM5 2SF,8.279360873975429e-05
SE16 7TG,8.279360873975429e-05
SE16 7TQ,8.228567248981714e-05
SE13 6UR,8.228567248981714e-05
SE16 3EJ,8.228567248981714e-05
SE26 6DP,8.228567248981714e-05
SE18 4NB,8.228567248981714e-05
KT2 5AG,8.228567248981714e-05
E14 9XA,8.228567248981714e-05
E14 9LN,8.228567248981714e-05
N10 3PE,8.177773623988e-05
N1 7RR,8.177773623988e-05
E1 1LF,8.177773623988e-05
E14 3SP,8.126979998994286e-05
SE1 2NE,8.126979998994286e-05
KT5 9NP,8.126979998994286e-05
SE1 6BB,8.076186374000572e-05
RM6 4DG,8.076186374000572e-05
E14 8EJ,8.076186374000572e-05
SE1 6EG,8.076186374000572e-05
E11 3RZ,8.076186374000572e-05
KT1 1HS,8.076186374000572e-05
SE16 5GB,8.076186374000572e-05
N22 5HG,8.076186374000572e-05
SM2 6LX,8.076186374000572e-05
SW17 0JG,8.025392749006857e-05
SE26 5AP,8.025392749006857e-05
KT1 1HX,7.974599124013143e-05
CR4 4FE,7.974599124013143e-05
E4 8LL,7.974599124013143e-05
SE16 7AB,7.974599124013143e-05
IG1 2BG,7.923805499019429e-05
E2 6LD,7.923805499019429e-05
SW6 7EQ,7.923805499019429e-05
SE14 6DU,7.923805499019429e-05
TW2 6SR,7.923805499019429e-05
W14 0NR,7.923805499019429e-05
SM4 5DJ,7.873011874025714e-05
E17 5ET,7.873011874025714e-05
SW17 8QL,7.873011874025714e-05
E14 3LH,7.873011874025714e-05
TW7 6TR,7.822218249032e-05
SW14 8PU,7.822218249032e-05
KT2 5AQ,7.822218249032e-05
SE6 1NB,7.822218249032e-05
RM2 6GE,7.822218249032e-05
TW14 8BF,7.822218249032e-05
N13 6BQ,7.822218249032e-05
SE16 7UF,7.822218249032e-05
E4 7NZ,7.822218249032e-05
SE8 4BJ,7.771424624038286e-05
SE1 2NZ,7.720630999044571e-05
SE9 6EG,7.720630999044571e-05
SE16 5XR,7.720630999044571e-05
SW18 4QL,7.720630999044571e-05
TW4 5EZ,7.720630999044571e-05
SE13 7SF,7.720630999044571e-05
SW15 2QS,7.720630999044571e-05
E2 6PG,7.720630999044571e-05
SW18 4PY,7.669837374050857e-05
SW17 6AS,7.669837374050857e-05
E14 3WF,7.669837374050857e-05
EN1 1NB,7.669837374050857e-05
TW12 2ET,7.669837374050857e-05
SW20 8DQ,7.669837374050857e-05
N1 6LD,7.669837374050857e-05
SW18 2JR,7.669837374050857e-05
E14 9PL,7.619043749057144e-05
E14 3GG,7.619043749057144e-05
N8 7RW,7.619043749057144e-05
TW1 1AL,7.619043749057144e-05
N8 7QF,7.619043749057144e-05
UB10 8TH,7.56825012406343e-05
E14 3WD,7.56825012406343e-05
E17 3JQ,7.56825012406343e-05
SW17 9NX,7.56825012406343e-05
HA4 0FF,7.56825012406343e-05
E14 7HU,7.56825012406343e-05
SW19 6AZ,7.56825012406343e-05
SE1 7GL,7.56825012406343e-05
E9 5RH,7.56825012406343e-05
E14 7LE,7.56825012406343e-05
SE1 4PT,7.517456499069715e-05
E14 0BG,7.517456499069715e-05
SE1 2PS,7.517456499069715e-05
