Unnamed: 0,X.5BBE9CB3.6332.4EB0.9CD3.8737CEA4A65A.,X42000,Date,NE4.9DN,S,N,F,X8,Unnamed..8,MATFEN.PLACE,FENHAM,NEWCASTLE.UPON.TYNE,NEWCASTLE.UPON.TYNE.1,TYNE.AND.WEAR,A,A.1,Quarter,Education.Growth.Rate,Bank.Growth.Rate,GDP.Growth.Rate
3780001,{152AB733-7707-E651-E063-4704A8C061D9},380000,2024-02-27 00:00,W5 5NE,F,N,L,15,,THE PARK,,LONDON,EALING,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780002,{152AB733-7708-E651-E063-4704A8C061D9},403000,2024-01-31 00:00,N12 9HN,F,N,L,"CAXTON COURT, 4",FLAT 3,COTTONHAM CLOSE,,LONDON,BARNET,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780003,{152AB733-770A-E651-E063-4704A8C061D9},305000,2024-02-14 00:00,NW9 5FQ,F,N,L,"AMIOT HOUSE, 9",FLAT 8,HERITAGE AVENUE,,LONDON,BARNET,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780004,{152AB733-7712-E651-E063-4704A8C061D9},390000,2024-02-02 00:00,NW9 5EN,F,N,L,"BRIGADIER HOUSE, 12",FLAT 21,HERITAGE AVENUE,,LONDON,BARNET,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780005,{152AB733-771B-E651-E063-4704A8C061D9},229000,2024-02-29 00:00,N9 9GB,F,N,L,35,FLAT 2,GARETH DRIVE,,LONDON,ENFIELD,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780006,{152AB733-771D-E651-E063-4704A8C061D9},625000,2024-02-23 00:00,N22 8LB,T,N,F,4,,DOGAN TERRACE,,LONDON,HARINGEY,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780007,{152AB733-7723-E651-E063-4704A8C061D9},405000,2024-02-27 00:00,EN2 8FH,F,N,L,"STAPLEFORD LODGE, 33A",FLAT 1,BYCULLAH ROAD,,ENFIELD,ENFIELD,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780008,{152AB733-7724-E651-E063-4704A8C061D9},380000,2024-02-26 00:00,TW8 8QS,F,N,L,GALBA COURT,FLAT 53,AUGUSTUS CLOSE,,BRENTFORD,HOUNSLOW,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780009,{152AB733-772A-E651-E063-4704A8C061D9},360000,2024-03-01 00:00,TW8 9NX,F,N,L,14,,ENFIELD ROAD,,BRENTFORD,HOUNSLOW,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780010,{152AB733-772B-E651-E063-4704A8C061D9},315000,2024-02-02 00:00,UB7 9DG,F,N,L,"KENSINGTON HOUSE, 34",FLAT 26,PARK LODGE AVENUE,,WEST DRAYTON,HILLINGDON,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780011,{152AB733-772C-E651-E063-4704A8C061D9},450000,2024-01-22 00:00,N21 3RF,F,N,L,"STEFAN HOUSE, 698",FLAT 16,GREEN LANES,,LONDON,ENFIELD,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780012,{152AB733-7730-E651-E063-4704A8C061D9},521000,2024-01-29 00:00,NW6 7GZ,F,N,L,"KYLE HOUSE, 38",FLAT 21,PRIORY PARK ROAD,,LONDON,BRENT,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780013,{152AB733-7735-E651-E063-4704A8C061D9},497000,2024-02-29 00:00,NW6 6TD,F,N,L,109C,,VICTORIA ROAD,KILBURN,LONDON,BRENT,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780014,{152AB733-7738-E651-E063-4704A8C061D9},495000,2024-02-09 00:00,NW2 4BG,F,N,L,57,FLAT 2,CHATSWORTH ROAD,,LONDON,BRENT,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780015,{152AB733-773A-E651-E063-4704A8C061D9},312500,2024-02-20 00:00,N4 4QT,F,N,L,39,FLAT 4,QUERNMORE ROAD,,LONDON,HARINGEY,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780016,{152AB733-773D-E651-E063-4704A8C061D9},875000,2024-02-23 00:00,N7 8PZ,F,N,L,342,FLAT A,LIVERPOOL ROAD,,LONDON,ISLINGTON,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780017,{152AB733-773E-E651-E063-4704A8C061D9},294000,2024-02-23 00:00,E11 3DZ,F,N,L,WOODBRIDGE HOUSE,FLAT 38,MORNINGTON ROAD,LEYTONSTONE,LONDON,WALTHAM FOREST,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780018,{152AB733-7744-E651-E063-4704A8C061D9},258000,2024-02-29 00:00,TW7 4PP,F,N,L,THORNBURY COURT,FLAT 22,CHURCH ROAD,,ISLEWORTH,HOUNSLOW,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780019,{152AB733-7745-E651-E063-4704A8C061D9},335000,2024-02-12 00:00,N10 1NW,F,N,L,"ST. MATTHEWS COURT, 7B",FLAT 17,COPPETTS ROAD,,LONDON,HARINGEY,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780020,{152AB733-7746-E651-E063-4704A8C061D9},615000,2024-02-02 00:00,NW10 4HH,F,N,L,38,FLAT A,SELLONS AVENUE,,LONDON,BRENT,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780021,{152AB733-7749-E651-E063-4704A8C061D9},500000,2024-03-07 00:00,EC2Y 8HD,F,N,L,817,,FROBISHER CRESCENT,,LONDON,CITY OF LONDON,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780022,{152AB733-774C-E651-E063-4704A8C061D9},485000,2024-02-28 00:00,N6 5HP,F,N,L,47,FLAT 3,CROMWELL AVENUE,,LONDON,HARINGEY,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780023,{152AB733-774E-E651-E063-4704A8C061D9},270000,2024-02-29 00:00,HA2 9DE,F,N,L,21,,JASMINE GARDENS,,HARROW,HARROW,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780024,{152AB733-774F-E651-E063-4704A8C061D9},435500,2024-02-26 00:00,N3 3RY,F,N,L,4,FLAT 5,CYPRUS ROAD,,LONDON,BARNET,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780025,{152AB733-7754-E651-E063-4704A8C061D9},510000,2024-02-23 00:00,N22 8PL,F,N,L,22A,,CLARENCE ROAD,WOOD GREEN,LONDON,HARINGEY,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780026,{152AB733-7758-E651-E063-4704A8C061D9},380000,2024-03-14 00:00,N22 6AF,F,N,L,"SOLAR HOUSE, 37",FLAT 21,STATION ROAD,,LONDON,HARINGEY,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780027,{152AB733-775B-E651-E063-4704A8C061D9},304000,2024-02-05 00:00,W13 0JP,F,N,L,13,,SAWYERS LAWN,,LONDON,EALING,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780028,{152AB733-775E-E651-E063-4704A8C061D9},450000,2024-02-27 00:00,NW2 2LU,F,N,L,HOCROFT COURT,FLAT 11,HENDON WAY,,LONDON,BARNET,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780029,{152AB733-7764-E651-E063-4704A8C061D9},333000,2024-03-08 00:00,W3 7SJ,F,N,L,1,,ELIZABETH GARDENS,,LONDON,EALING,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780030,{152AB733-7766-E651-E063-4704A8C061D9},274500,2024-02-03 00:00,TW1 1AL,F,N,L,193,,VARSITY DRIVE,,TWICKENHAM,HOUNSLOW,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780031,{152AB733-776D-E651-E063-4704A8C061D9},495000,2024-02-12 00:00,TW3 4LD,T,N,F,19B,,HARTE ROAD,,HOUNSLOW,HOUNSLOW,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780032,{152AB733-776F-E651-E063-4704A8C061D9},420000,2024-02-23 00:00,W5 2BE,F,N,L,DICKENS YARD,24 BELGRAVIA HOUSE,LONGFIELD AVENUE,,LONDON,EALING,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780033,{152AB733-7770-E651-E063-4704A8C061D9},740000,2024-02-15 00:00,N8 7RU,F,N,L,1,,PARK AVENUE NORTH,,LONDON,HARINGEY,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780034,{152AB733-7773-E651-E063-4704A8C061D9},475000,2024-03-08 00:00,W7 3BE,F,N,L,82,,CHURCH ROAD,HANWELL,LONDON,EALING,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780035,{152AB733-7779-E651-E063-4704A8C061D9},480000,2024-03-14 00:00,N1 5ET,F,N,L,RELIANCE WHARF,FLAT 68,HERTFORD ROAD,,LONDON,HACKNEY,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780036,{2859C1AC-8EEF-52B4-E063-4804A8C05948},440000,2024-11-05 00:00,SE26 6DP,F,N,L,15,FLAT 7,LAWRIE PARK ROAD,,LONDON,LEWISHAM,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780037,{2859C1AC-8EF0-52B4-E063-4804A8C05948},550000,2024-10-29 00:00,SW17 7QR,F,N,L,UPPER TOOTING PARK MANSIONS,FLAT 15,MARIUS ROAD,,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780038,{2859C1AC-8EF1-52B4-E063-4804A8C05948},525000,2024-10-31 00:00,SW16 2JZ,F,N,L,10A,,KNOLLYS ROAD,,LONDON,LAMBETH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780039,{2859C1AC-8EF2-52B4-E063-4804A8C05948},1500000,2024-07-18 00:00,SW18 4EY,S,N,F,1A,,SKELBROOK STREET,,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3780040,{2859C1AC-8EF3-52B4-E063-4804A8C05948},325000,2024-08-22 00:00,SE21 8JS,F,N,L,21,FIRST FLOOR FLAT,BIRKBECK HILL,,LONDON,LAMBETH,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3780041,{2859C1AC-8EF4-52B4-E063-4804A8C05948},827500,2024-11-01 00:00,TW12 3EP,S,N,F,212,,HANWORTH ROAD,,HAMPTON,RICHMOND UPON THAMES,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780042,{2859C1AC-8EF5-52B4-E063-4804A8C05948},313000,2024-03-08 00:00,SE5 0NW,F,N,L,86D,,GROSVENOR TERRACE,,LONDON,SOUTHWARK,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780043,{2859C1AC-8EF6-52B4-E063-4804A8C05948},535000,2024-05-24 00:00,TW9 4JB,F,N,L,44,FLAT 2,CHILTON ROAD,,RICHMOND,RICHMOND UPON THAMES,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3780044,{2859C1AC-8EF7-52B4-E063-4804A8C05948},375000,2024-06-14 00:00,SE3 0UN,F,N,L,61,,BAIZDON ROAD,,LONDON,LEWISHAM,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3780045,{2859C1AC-8EF8-52B4-E063-4804A8C05948},750000,2024-11-19 00:00,SW15 3NH,F,N,L,GONVILLE HOUSE,FLAT 6,MANOR FIELDS,,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780046,{2859C1AC-8EF9-52B4-E063-4804A8C05948},635000,2024-11-21 00:00,SW4 0BG,F,N,L,22 - 24,FLAT 1,BROMELLS ROAD,CLAPHAM,LONDON,LAMBETH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780047,{2859C1AC-8EFA-52B4-E063-4804A8C05948},610000,2024-10-18 00:00,SW2 5JB,F,N,L,1,,WINTERWELL ROAD,,LONDON,LAMBETH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780048,{2859C1AC-8EFB-52B4-E063-4804A8C05948},900000,2024-10-30 00:00,SW13 0AN,T,N,F,111,,ARCHWAY STREET,,LONDON,RICHMOND UPON THAMES,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780049,{2859C1AC-8EFC-52B4-E063-4804A8C05948},480000,2024-06-03 00:00,SW17 8JB,T,N,F,68,,DERINTON ROAD,,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3780050,{2859C1AC-8EFD-52B4-E063-4804A8C05948},725000,2024-04-04 00:00,SE4 1QD,F,N,L,55B,,TYRWHITT ROAD,,LONDON,LEWISHAM,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3780051,{2859C1AC-8EFE-52B4-E063-4804A8C05948},983000,2024-08-30 00:00,SW17 0UH,T,N,F,32,,KEBLE STREET,,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3780052,{2859C1AC-8EFF-52B4-E063-4804A8C05948},730000,2024-11-08 00:00,SE10 9LA,T,N,F,27,,RANDALL PLACE,,LONDON,GREENWICH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780053,{2859C1AC-8F00-52B4-E063-4804A8C05948},545000,2024-05-31 00:00,TW10 7UE,F,N,L,74,,KINGFISHER DRIVE,,RICHMOND,RICHMOND UPON THAMES,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3780054,{2859C1AC-8F01-52B4-E063-4804A8C05948},765600,2024-03-19 00:00,SW17 0JP,T,N,F,11,,HARPER MEWS,,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780055,{2859C1AC-8F02-52B4-E063-4804A8C05948},378000,2024-08-01 00:00,SW15 3EH,F,N,L,104,,STROUD CRESCENT,,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3780056,{2859C1AC-8F03-52B4-E063-4804A8C05948},441560,2024-05-31 00:00,SE15 4LB,F,N,L,6A,,HOWDEN STREET,,LONDON,SOUTHWARK,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3780057,{2859C1AC-8F04-52B4-E063-4804A8C05948},323000,2024-03-08 00:00,SE16 7BE,F,N,L,COLUMBIA POINT,FLAT 38,CANADA ESTATE,,LONDON,SOUTHWARK,GREATER LONDON,A,A,2024 Q1,1.6,0.25,0.7
3780058,{2859C1AC-8F05-52B4-E063-4804A8C05948},410000,2024-07-17 00:00,SE4 1YB,F,N,L,56B,,TRESSILLIAN ROAD,,LONDON,LEWISHAM,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3780059,{2859C1AC-8F06-52B4-E063-4804A8C05948},1620000,2024-10-18 00:00,SE1 2NZ,F,N,L,"TRIANGLE HOUSE, 21",FLAT 28,THREE OAK LANE,,LONDON,SOUTHWARK,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780060,{2859C1AC-8F07-52B4-E063-4804A8C05948},488000,2024-06-11 00:00,SE1 3BZ,F,N,L,25,,PURBROOK ESTATE,,LONDON,SOUTHWARK,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3780061,{2859C1AC-8F08-52B4-E063-4804A8C05948},310000,2024-11-18 00:00,SE15 6TN,F,N,L,NORTHFIELD HOUSE,FLAT 87,PECKHAM PARK ROAD,,LONDON,SOUTHWARK,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780062,{2859C1AC-8F09-52B4-E063-4804A8C05948},895000,2024-10-09 00:00,SE17 2PY,F,N,L,20,FLAT 2,LIVERPOOL GROVE,,LONDON,SOUTHWARK,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780063,{2859C1AC-8F0B-52B4-E063-4804A8C05948},1295000,2024-11-04 00:00,SW13 8QZ,F,N,L,39,,RIVERVIEW GARDENS,,LONDON,RICHMOND UPON THAMES,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780064,{2859C1AC-8F0C-52B4-E063-4804A8C05948},461000,2024-10-22 00:00,SW2 2YE,F,N,L,"BISHOP COURT, 10",FLAT 4,DUDLEY MEWS,,LONDON,LAMBETH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780065,{2859C1AC-8F0D-52B4-E063-4804A8C05948},400000,2024-04-19 00:00,SE21 8JP,F,N,L,51,FLAT 1,THURLOW PARK ROAD,,LONDON,LAMBETH,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3780066,{2859C1AC-8F0E-52B4-E063-4804A8C05948},395000,2024-11-08 00:00,SE1 6HD,F,N,L,ST. GEORGES COURT,FLAT 4,GARDEN ROW,,LONDON,SOUTHWARK,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780067,{2859C1AC-8F0F-52B4-E063-4804A8C05948},375000,2024-10-30 00:00,TW2 5EF,F,N,L,59,,ELMSLEIGH ROAD,,TWICKENHAM,RICHMOND UPON THAMES,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780068,{2859C1AC-9125-52B4-E063-4804A8C05948},575000,2024-10-31 00:00,SE14 5NH,F,N,L,63C,,JERNINGHAM ROAD,,LONDON,LEWISHAM,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780069,{2859C1AC-9126-52B4-E063-4804A8C05948},683000,2024-08-29 00:00,SW12 9RW,F,N,L,84A,,FERNLEA ROAD,,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3780070,{2859C1AC-9127-52B4-E063-4804A8C05948},640000,2024-10-28 00:00,SE10 9FJ,F,N,L,"JUBILEE COURT, 20",FLAT 116,VICTORIA PARADE,,LONDON,GREENWICH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780071,{2859C1AC-9128-52B4-E063-4804A8C05948},1222500,2024-07-26 00:00,TW10 6JR,F,N,L,18,,MARLBOROUGH ROAD,,RICHMOND,RICHMOND UPON THAMES,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3780072,{2859C1AC-9129-52B4-E063-4804A8C05948},413000,2024-07-18 00:00,SW8 2RT,F,N,L,FARNLEY HOUSE,FLAT 42,UNION GROVE,,LONDON,LAMBETH,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3780073,{2859C1AC-912A-52B4-E063-4804A8C05948},575000,2024-10-23 00:00,SE1 9JX,F,N,L,SUMNER BUILDINGS,FLAT 24,SUMNER STREET,,LONDON,SOUTHWARK,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780074,{2859C1AC-912B-52B4-E063-4804A8C05948},455000,2024-11-19 00:00,SE7 7PH,F,N,L,44,FLAT 1,WELLINGTON GARDENS,,LONDON,GREENWICH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
3780075,{2859C1AC-912D-52B4-E063-4804A8C05948},625000,2024-07-26 00:00,SW11 3LP,F,N,L,17C,,VICARAGE CRESCENT,BATTERSEA,LONDON,WANDSWORTH,GREATER LONDON,A,A,2024 Q3,1.6,-0.25,0.1
3780076,{2859C1AC-912E-52B4-E063-4804A8C05948},555000,2024-06-24 00:00,SE1 8XQ,F,N,L,MAWDLEY HOUSE,FLAT 3,WEBBER ROW,,LONDON,SOUTHWARK,GREATER LONDON,A,A,2024 Q2,1.6,-0.25,0.5
3780077,{2859C1AC-912F-52B4-E063-4804A8C05948},357000,2024-10-10 00:00,SE9 3QH,F,N,L,103,FLAT 3,SOUTHWOOD ROAD,,LONDON,GREENWICH,GREATER LONDON,A,A,2024 Q4,1.6,0.3,0.1
