Price,Date,Postcode,Year
313000,2020-12-18,DA16 2BY,2020
465000,2020-11-20,DA15 8AA,2020
180000,2020-12-16,DA15 8PH,2020
465000,2020-08-05,SW12 0FE,2020
477500,2020-08-24,SE22 0RY,2020
332000,2020-05-22,SW9 6XF,2020
326000,2020-08-11,RM10 7YJ,2020
325000,2020-07-20,SE13 7GS,2020
210000,2020-08-20,SW2 4BT,2020
270000,2020-07-31,SE12 0ES,2020
540000,2020-08-03,SE27 0BT,2020
700000,2020-08-07,SW11 1EN,2020
860000,2020-09-01,SW11 1EW,2020
442500,2020-08-21,SE23 2AJ,2020
570000,2020-07-31,SE18 6GD,2020
750000,2020-08-14,SW12 9PS,2020
605000,2020-08-14,SW4 7RJ,2020
99000,2020-09-01,IG11 8SD,2020
256500,2020-08-28,E16 4BG,2020
341400,2020-07-31,SE11 4TF,2020
625000,2020-08-07,SE22 9EE,2020
575000,2020-07-30,SW4 0HY,2020
500000,2020-07-24,SW2 4DQ,2020
425000,2020-08-14,SE15 6BN,2020
382000,2020-08-12,SE10 0GJ,2020
250000,2020-06-17,RM9 6NA,2020
715000,2020-08-18,SW11 2RE,2020
620000,2020-07-23,SW11 3TN,2020
528250,2020-07-17,SW18 4PT,2020
4290000,2020-12-09,N3 2TA,2020
172500000,2020-09-04,WC1A 1LW,2020
319000,2020-02-28,HA1 2TJ,2020
553031,2020-03-31,W1T 5LQ,2020
470000,2020-12-18,UB6 7QN,2020
1900000,2020-09-02,SW8 1LF,2020
500000,2020-12-18,DA15 9BW,2020
480000,2020-12-21,BR6 7AF,2020
1149500,2020-12-11,BR3 3NG,2020
492000,2020-12-18,BR1 4SB,2020
627500,2020-02-17,BR6 8JR,2020
350000,2020-08-11,SW17 7JY,2020
610000,2020-08-10,SW4 7NB,2020
637000,2020-08-17,SW18 3TD,2020
290000,2020-08-14,SW2 3QY,2020
370000,2020-08-07,TW12 2SY,2020
700000,2020-08-14,SE15 3XG,2020
270000,2020-01-30,SW19 6TQ,2020
499995,2020-07-10,SE22 0DE,2020
475001,2020-08-07,SW4 7BS,2020
630000,2020-08-28,SW12 9JQ,2020
660000,2020-07-17,SW9 9PA,2020
330000,2020-07-31,SE1 5JX,2020
442500,2020-07-30,SW4 7LU,2020
790000,2020-07-03,SE3 9BW,2020
615000,2020-06-30,SE18 6FS,2020
640000,2020-07-31,SW11 1EA,2020
620000,2020-08-07,SE3 9BW,2020
620000,2020-07-15,SE11 6BD,2020
760000,2020-07-24,SE22 0HB,2020
725000,2020-08-14,SW15 1QQ,2020
538000,2020-07-31,SW17 9RR,2020
600000,2020-07-20,SE1 3GW,2020
303500,2020-07-31,SE13 6BT,2020
689950,2020-08-21,TW1 4SH,2020
440000,2020-08-03,E16 1UX,2020
118750,2020-07-31,SE8 4DA,2020
800000,2020-07-30,SW8 5DF,2020
153000,2020-07-22,SW8 2FT,2020
685000,2020-02-27,BR3 3BG,2020
232000,2020-01-31,DA8 3DS,2020
640000,2020-12-18,DA7 6JE,2020
525000,2020-12-11,BR3 3RU,2020
575000,2020-12-09,BR2 9DP,2020
417000,2020-12-08,DA16 2NQ,2020
620000,2020-12-17,BR2 7BD,2020
680000,2020-12-08,BR1 3QP,2020
1100000,2020-12-04,BR1 2HS,2020
975000,2020-12-14,BR2 8AX,2020
685000,2020-12-07,SE20 7LX,2020
603000,2020-12-18,BR6 8BU,2020
350000,2020-02-28,DA8 1DU,2020
1725000,2020-12-21,SE24 0EB,2020
980000,2020-12-21,SE22 8RG,2020
540000,2020-12-15,SE12 8QF,2020
1097000,2020-12-11,SW6 7PB,2020
803000,2020-12-15,SW17 7BY,2020
1185000,2020-11-20,SW16 5PE,2020
725000,2020-12-21,SE13 5LS,2020
697000,2020-12-15,SE23 2DJ,2020
957000,2020-12-01,SE13 7DG,2020
1020000,2020-12-21,SW16 6RE,2020
2450000,2020-12-11,SW15 2EP,2020
450000,2020-07-24,TW12 3SB,2020
561000,2020-07-23,SE5 8HT,2020
315000,2020-07-28,SE16 5XP,2020
616888,2020-05-28,SE16 2DX,2020
232500,2020-08-18,SE18 3PF,2020
370000,2020-07-24,SE14 6QQ,2020
800000,2020-08-28,KT2 6LN,2020
540000,2020-08-07,SE16 3BS,2020
450000,2020-08-06,SM4 5SP,2020
250000,2020-08-24,SE12 0HT,2020
332500,2020-07-14,SW11 3DY,2020
400000,2020-08-25,SE3 8PP,2020
500000,2020-08-05,SE22 9AQ,2020
380000,2020-08-04,SW16 6AJ,2020
