Price,Date,Postcode,Year
410000,2016-08-31,CR5 1LQ,2016
393000,2016-08-31,CR7 8HP,2016
330000,2016-09-13,CR0 3HY,2016
500000,2016-06-17,CR4 4EW,2016
685000,2016-06-27,CR0 5SQ,2016
1390000,2016-07-14,SW14 8JY,2016
500000,2016-08-26,SE24 0NJ,2016
735000,2016-08-19,SE1 1QZ,2016
565000,2016-09-16,SW17 9TA,2016
370000,2016-09-14,TW9 4BG,2016
432500,2016-07-07,SE18 6PL,2016
734500,2016-08-15,SW4 7LF,2016
650000,2016-09-12,SE24 9JE,2016
419000,2016-09-09,SE7 7HX,2016
800000,2016-09-02,SW16 3HA,2016
361000,2016-09-19,SE13 6TG,2016
335000,2016-08-31,SE15 6JD,2016
330000,2016-08-15,SE6 1QA,2016
1950000,2016-09-09,SE1 7XB,2016
285000,2016-03-24,SW16 2LD,2016
440000,2016-09-09,SE10 9UD,2016
730000,2016-08-26,TW12 2RQ,2016
550000,2016-08-25,SE16 4UF,2016
300000,2016-08-01,SE15 1EN,2016
270000,2016-09-14,SE9 2BB,2016
485000,2016-08-24,SW11 1HP,2016
580000,2016-08-05,SE10 8NG,2016
300000,2016-08-12,SE18 6HB,2016
445000,2016-08-12,SW16 6DT,2016
350000,2016-08-24,SE13 6DQ,2016
277000,2016-05-19,SE13 6EZ,2016
1030000,2016-07-13,SW13 0NZ,2016
425000,2016-06-30,SE14 5QB,2016
3750000,2016-07-15,SW19 4SL,2016
905000,2016-06-08,SE15 4LN,2016
350000,2016-07-22,SW15 5LA,2016
510000,2016-07-11,SW18 1ST,2016
240000,2016-07-25,SE16 3JB,2016
645100,2016-03-31,SW12 8AF,2016
535000,2016-06-09,SE22 8DJ,2016
550000,2016-07-01,SE26 6DQ,2016
700000,2016-06-20,SE4 1PR,2016
650000,2016-06-24,SW19 8RY,2016
1230000,2016-05-27,SW15 2EZ,2016
810000,2016-07-20,SW19 4LF,2016
810000,2016-07-05,TW1 2TD,2016
375000,2016-06-24,SE4 1DE,2016
575000,2016-07-25,SE15 4BY,2016
685000,2016-07-04,SW15 5BY,2016
315000,2016-07-08,SW11 2AX,2016
375000,2016-07-15,SE6 1AR,2016
625000,2016-06-23,SE10 9ND,2016
600000,2016-06-21,SW19 3EF,2016
370500,2016-07-29,SE13 6TD,2016
387500,2016-08-22,SE18 5TQ,2016
400000,2016-08-26,SE1 3SH,2016
450000,2016-07-27,SE16 4WG,2016
280000,2016-09-15,SE15 6TL,2016
295000,2016-03-23,SE11 6AB,2016
520000,2016-08-30,SW12 0DF,2016
2021040,2016-03-31,SW8 5DU,2016
210000,2016-09-09,SE6 2NZ,2016
670000,2016-03-29,SE17 3AF,2016
760000,2016-03-31,SW15 2DG,2016
300000,2016-03-23,SE8 3BU,2016
725000,2016-02-18,SW8 5AY,2016
465000,2016-04-13,SW9 7RH,2016
525000,2016-04-08,SE8 3BU,2016
331000,2016-03-07,SE16 5AD,2016
1195000,2016-03-09,SW9 0FJ,2016
1650000,2016-03-30,SE3 7JU,2016
700000,2016-05-06,TW1 1RQ,2016
362500,2016-03-24,SE26 4SQ,2016
390000,2016-03-24,SW16 1DG,2016
297500,2016-08-26,SE13 5PR,2016
477238,2016-03-24,SE17 3AF,2016
850000,2016-03-31,SE3 9BU,2016
945000,2016-04-19,SE23 3EG,2016
345250,2016-03-31,TW11 8TX,2016
306000,2016-03-31,SE19 1UY,2016
248000,2016-03-31,SE27 9DL,2016
755000,2016-04-01,SE10 0JF,2016
627500,2016-04-18,SW15 5FA,2016
922500,2016-04-15,SE1 0FY,2016
230000,2016-07-25,E15 3FA,2016
307500,2016-09-05,SW16 6AN,2016
1044995,2016-07-15,SE1 6FF,2016
