Ward name,Affluence_Score,Green_Space_Score,Health_Score,Housing_Affordability_Score,Transport_Score,Employment_Score,Safety_Score,Education_Score
Barking and Dagenham,0.9877721306248912,8.29763338156284,2.578710644677664,9.87378204922431,0.995475113122172,1.580611169652266,9.59908516076954,3.479603087100331
Barking and Dagenham - Abbey,0.9687417488449748,6.497256314523828,3.5982008995502266,10.0,2.0814479638009047,1.4014752370916757,9.570384322166912,4.238147739801543
Barking and Dagenham - Alibon,0.8112398671707834,7.53270668703773,2.263868065967018,9.87379136686409,0.85972850678733,1.6016859852476297,9.653347683752633,2.8048511576626236
Barking and Dagenham - Becontree,0.8694813810119075,6.905621941389346,1.3493253373313376,9.888797576019016,1.0407239819004523,1.4120126448893582,9.687878380196421,2.632855567805954
Barking and Dagenham - Chadwell Heath,0.9710753535191963,9.04323454716542,3.2233883058470765,9.797131838110637,0.588235294117647,1.6754478398314019,9.634064307816494,2.187431091510473
Barking and Dagenham - Eastbrook,1.353830343653417,9.026742080074468,3.6431784107946,9.798598614953885,0.7692307692307689,2.1917808219178085,9.612987129467689,3.702315325248071
Barking and Dagenham - Eastbury,0.8549429143326054,7.2183717314392295,3.0134932533733148,9.85876471901545,0.9049773755656109,1.443624868282403,9.755594421274496,4.154355016538038
Barking and Dagenham - Gascoigne,0.48131418097597267,5.730373458257869,1.184407796101949,9.918928418524814,1.0859728506787327,0.9167544783983138,9.665455850038118,3.411245865490628
Barking and Dagenham - Goresbrook,0.8964766951775455,7.104307265791792,2.87856071964018,9.903849772234803,0.9049773755656109,1.6649104320337205,9.667698103053949,4.141124586549065
Barking and Dagenham - Heath,0.6870548484745564,8.196891051909112,2.083958020989505,9.873816915231238,0.9502262443438916,1.4646996838777662,9.428225480963272,3.2171995589856675
Barking and Dagenham - Longbridge,1.7013950135360025,7.5849834232155935,3.5832083958020995,9.57991390981751,0.9049773755656109,1.833508956796629,9.744831606798511,5.003307607497245
Barking and Dagenham - Mayesbrook,0.708112069994993,8.200196290712615,3.1184407796101943,9.882813847864222,0.85972850678733,1.4857744994731301,9.669043454863447,3.2149944873208374
Barking and Dagenham - Parsloes,0.7446390088863228,7.254594450571503,2.3838080959520234,9.879801545093107,0.7692307692307693,1.4330874604847212,9.6286829005785,3.7486218302094803
Barking and Dagenham - River,0.9237349507149267,8.970080843442979,0.3148425787106436,9.902312061101595,0.995475113122172,1.78082191780822,9.661868245212789,2.749724366041896
Barking and Dagenham - Thames,0.8222286253315527,9.416254354989393,2.3238380809595185,9.861791449099776,0.9049773755656109,1.4225500526870394,9.643033319879816,3.318632855567807
Barking and Dagenham - Valence,0.8914588973334461,7.440800812144391,2.608695652173914,9.873793170278244,1.1312217194570136,1.6227608008429928,9.671734158482444,3.4399117971334077
Barking and Dagenham - Village,0.7548389429318619,8.30447994765581,1.5442278860569745,9.911371812660857,1.3122171945701355,1.464699683877767,9.580250235436568,3.023153252480707
Barking and Dagenham - Whalebone,1.3293001048478716,7.749469644079744,4.617691154422792,9.813603922401734,0.7692307692307689,2.0969441517386733,9.703125700704069,3.2613009922822496
Barnet,3.229478795421752,8.605425313407464,5.847076461769111,9.317670741541056,0.995475113122172,2.3709167544783987,9.31342212655276,5.477398015435503
Barnet - Brunswick Park,1.617626274854807,8.280500102867126,6.506746626686653,9.212455953112194,0.7692307692307689,2.5079030558482627,9.847526794923539,5.636163175303199
Barnet - Burnt Oak,0.4741161609245018,7.05034418328561,2.4137931034482776,9.768588300627215,0.995475113122172,1.6754478398314023,9.567245167944751,3.2282249173098125
Barnet - Childs Hill,1.522266204035931,7.8386099109946406,5.6221889055472225,8.994553929717583,2.171945701357466,2.1496311907270824,9.737656397147855,4.4057331863285585
Barnet - Colindale,0.5582902675538015,7.255403896809095,3.763118440779611,9.610785955539589,0.588235294117647,1.5279241306638571,9.697744293466075,3.106945975744212
Barnet - Coppetts,1.4282427518567498,7.877530784252223,4.6926536731634165,9.513038203405157,1.2217194570135745,2.507903055848262,9.7766715996233,5.289966923925028
Barnet - East Barnet,1.6244737064106203,8.591799635074654,4.662668665667162,9.413839604585817,0.678733031674208,2.507903055848262,9.857392708193192,4.851157662624034
Barnet - East Finchley,1.7638655011059967,7.871932114442207,6.266866566716644,9.204981402592132,1.583710407239819,2.8767123287671255,9.81882595632091,5.669239250275636
